Report generated on: 07-31-2024 18:30:54
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.80-1-AUS-QBTU.A","        Fuel ethanol (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000520198","0.00044729","0.00167732","0.00317573","0.00436104","0.006016","0.00599363","0.00579236","0.00561344","0.00516616","0.00485306","0.00541216","0.00708949","0.00610546","0.00534507","0.00391375","0.00391375","0.00391375"
"INTL.81-1-AUS-QBTU.A","        Biomass-based diesel (quad Btu)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.00070738","0.00181898","0.00168424","0.0028632","0.0028632","0.00303163","0.00384006","0.00384006","0.00505271","0.00437902","0.00050527","0.0004379","0.0004379","0.00094317","0.00090949","0.00084212","0.00050527"
"INTL.79-2-AUS-QBTU.A","    Consumption (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000520198","0.00122204","0.00373209","0.00499471","0.00759478","0.00918237","0.00986738","0.01020506","0.01305777","0.02258117","0.01458795","0.00578269","0.00756108","0.00654336","0.00622087","0.00452008","0.0042506","0.00441902"
"INTL.80-2-AUS-QBTU.A","        Fuel ethanol (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000520198","0.00044729","0.00167732","0.00317573","0.00436104","0.006016","0.00599363","0.00579236","0.00561344","0.00516616","0.00485306","0.00541216","0.00708949","0.00610546","0.00534507","0.00391375","0.00391375","0.00391375"
"INTL.81-2-AUS-QBTU.A","        Biomass-based diesel (quad Btu)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.00077475","0.00205477","0.00181898","0.00323374","0.00316637","0.00387375","0.0044127","0.00744433","0.01741501","0.00973489","0.00037053","0.00047159","0.0004379","0.0008758","0.00060633","0.00033685","0.00050527"
"","Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-1-AUT-QBTU.A","    Production (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00074532972","0.0008215347","0.00088021575","0.0008997761","0.00094146912","0.00103669855","0.0050465703","0.0103268063","0.01154730366","0.01438411590718","0.015389633205425","0.014289941666975","0.009829","0.00940994","0.01518296","0.01759081","0.01608691","0.01422926","0.01430024","0.01577806","0.01366242","0.015123","0.01681063"
"INTL.80-1-AUT-QBTU.A","        Fuel ethanol (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0003901485","0.001956087","0.00299280573459","0.00355544736831","0.0037113033998","0.003224","0.0029635","0.00581884","0.00555808","0.00551917","0.00550691","0.00504454","0.00532264","0.00442622","0.00599785","0.00563563"
"INTL.81-1-AUT-QBTU.A","        Biomass-based diesel (quad Btu)","","","","","","","","","","","","","","","","","","","","","0.00074532972","0.0008215347","0.00088021575","0.0008997761","0.00094146912","0.00103669855","0.0050465703","0.0099366578","0.00959121666","0.01139131017259","0.011834185837115","0.010578638267175","0.006605","0.00644644","0.00936412","0.01203273","0.01056774","0.00872235","0.0092557","0.01045542","0.0092362","0.00912515","0.011175"
"INTL.79-2-AUT-QBTU.A","    Consumption (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00074532972","0.0008215347","0.00088021575","0.0008997761","0.00094146912","0.0023863627","0.01226433945","0.01549655315","0.01858764672","0.024408378832145","0.02364869950429","0.023759678245215","0.020929","0.01034765","0.01071732","0.01086977","0.01007595","0.00956255","0.00944977","0.0099554","0.00869583","0.01006915","0.00687427"
