Report generated on: 07-31-2024 18:27:31
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.64-2-WORL-TBPD.A","            Kerosene (Mb/d)","2201.348255865","2210.499420628822","2175.2199455115892","2170.577222782082","2176.538099894672","2180.1059496013563","2208.0465314143266","1809.3043879114693","1761.9232318517913","1642.3250226025866","1616.4047346774685","1582.816244714854","1709.781319487678","1721.7220442543548","1747.1246166521378","1798.0611242827479","1854.8344985843319","1814.3649455423867","1767.5115806077836","1754.2885085818393","1866.9384974685138","1859.1376741521342","1729.4958196770303","1707.0829198841004","1615.8699829013106","1615.8286364777362","1482.923620426816","1365.2646282368762","1282.2893323148046","1191.5531020627723","1176.632192957082","1085.8797861500611","1051.192150089336","988.6753952641446","928.5586689023418","868.1769372617065","834.5057840760114","805.8149735344542","762.0815365277734","729.0256480281041","655.3114278015058","628.7845231681941","599.0747478474943","",""
"INTL.65-2-WORL-TBPD.A","            Distillate fuel oil (Mb/d)","14263.85840415994","13781.447309249355","13602.73768242959","13603.189672363726","14080.566327287721","14432.874364242138","14857.985573182932","15270.92365645333","15606.772646601716","16110.514368321472","16348.12618118175","16696.8832900056","16907.526288914167","17070.742150691618","17246.539708470358","17907.866239164163","18507.91095777956","18871.168833571028","18982.003140127592","19611.880311435478","20241.782680258504","20862.638976090377","21030.578700123122","21688.91209566806","22778.868833861074","23406.272722694463","23878.713433185894","24459.562385180445","24841.037200045157","24438.557947651225","25484.745829105093","26002.295976122896","26405.578968657454","26989.242561018986","27397.24629472981","27954.814389296345","27615.435384859073","28148.56128154207","28299.341680924124","28065.840534296993","25943.53649160955","27372.42419717411","27928.46461298142","",""
"INTL.66-2-WORL-TBPD.A","            Residual fuel oil (Mb/d)","16505.599310343234","15015.387162127685","14195.681015378506","13634.488027675205","13045.087563968284","12521.78699498141","12803.715462264916","12581.14019781694","12664.984866762037","12839.064536082165","12741.97326746051","12555.068392459683","11818.007129330332","11347.585725166065","11241.74419717552","11187.410109313076","10907.774624535252","11061.04262056869","11072.6723891783","10841.843842317434","10591.949607905639","10410.1302281876","10072.450151260546","10173.5395875732","10227.770537568385","10167.024131543385","10021.429192971596","9869.307959047977","9668.51164315919","8866.562574280893","8710.574162411265","8421.462405913331","8384.811369802406","7842.444639074005","7385.303991035225","7074.351121331766","7022.143681959981","6740.006430035131","6568.6437629695","6348.083618250443","5722.401231283503","6221.841576690736","6369.585040919087","",""
"INTL.67-2-WORL-TBPD.A","            Liquefied Petroleum Gases (Mb/d)","2379.808414427329","1980.1984216040821","2058.4249097274246","2046.0142629613151","3464.1131202711517","3578.158457087384","3639.654114668322","3934.1586632489316","3959.6032530978314","4637.33668684378","4642.090756992965","4889.710792653597","4736.213289892838","4831.928497106576","5061.959572623974","5225.327003896468","5482.295446157371","5625.83560756718","5563.43760045929","5592.280448361782","5931.076192643784","6011.872117001703","6267.313967382944","6308.39060384586","6510.399220349652","6555.826614165152","6741.542385221293","7029.928139603249","7008.535705980902","7217.114807400339","7486.1591351349325","7646.803255684152","7790.822693725143","8201.768392685206","8409.869651703959","8636.942086644302","9198.575464523332","9391.423650641538","9755.628922004471","10206.247287262282","10057.022885373326","10584.66027655249","9311.835373136484","",""
"INTL.68-2-WORL-TBPD.A","            Other petroleum liquids (Mb/d)","8109.105307291836","10772.737909633617","10466.76444519889","10152.22750556474","9586.697081237333","9578.940449445754","9838.338036640247","10056.696121995441","10580.681837656935","10273.476352248514","10305.281556053553","10249.554375095606","11068.914577844393","10727.361912459824","11296.829558270822","11486.965437761713","12446.187194044267","12602.379997807857","12933.558968113319","13719.177258478827","14064.69372665359","14033.931449346454","14493.840731273474","15113.533526542202","16186.601264553838","16325.206452117132","16733.23656324682","17340.428252487058","16660.828524245306","16879.051541512334","17965.1636320452","18046.844904808793","18505.324944428034","18542.560491472774","19307.238101787287","19733.728145027744","20288.541623243444","21346.5941403012","21416.416667213663","21728.054548608983","21671.6586868897","22528.138713921246","20434.848917358675","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-3-WORL-TBPD.A","                Crude oil including lease condensate (Mb/d)","29583.029","26339.918","23843.946","22753.153","22860.943","21506.728","24105.11","24645.236","26024.928","27306.645","28166.615","27873.4","31264.357","32312.73","32798.806","33402.862","34876.913","36921.429","37772.225","37436.029","39408","39637.539","39212.738","41151.661","43384.23","43846.939","43969.161","44313.713","43837.492","41950.982","42906.363","42909.341","43508.608","42344.004","42071.994","44034.276","45274.942","47139.687","47535.552","","","","","",""
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-4-WORL-TBPD.A","                Crude oil including lease condensate (Mb/d)","30580.206","26689.791","23403.535","22394.084","22513.468","21172.463","23572.019","23057.166","24872.595","26026.891","27322.97","27517.625","30667.877","31648.812","32025.47","32786.43","33936.804","35575.321","37039.659","36108.586","38292.04","37834.404","37046.475","39272.271","42181.621","43044.94","42758.848","42961.73","42394.316","40613.107","41114.972","41822.211","41930.047","41167.84","40639.786","42275.206","45375.735","45690.86","46656.13","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
