Report generated on: 07-31-2024 18:28:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.119-4-WORL-TST.A","            Subbituminous (Mst)","33575.26053421937","33168.11616726792","31820.3605769688","37121.7621310474","45011.34618015678","40667.89324444315","39549.89090951603","34735.92384278678","37145.29901397219","35917.82451003843","36887.47787715279","34929.23163443195","42954.30082500031","40492.22070851698","47657.83131494173","62215.29019887412","61411.05943977963","65416.58125952703","68759.2252862238","71878.17587656384","74835.74806398751","87191.57567413218","92736.55150875471","107326.26484520744","110119.37968989897","135327.6596154803","166479.14413603776","166856.26533731582","159920.89440496633","196319.7825495341","255654.92438268338","247780.05993655347","256031.5793916619","274622.1787648179","261053.16908469307","260390.0146470038","246664.08956658107","277226.5435768123","293255.877590317","317509.8894935379","287927.1163073923","326613.1136124238","385110.31615543284"
"INTL.14-4-WORL-TST.A","            Lignite (Mst)","5351.072397947207","5048.612236375657","4637.607513077796","4717.645327399737","4708.083343084577","4509.294505394598","4153.846653354914","3747.5828908150925","3642.4504627087977","3665.8181633704053","5387.375442252056","4949.951771710515","4676.069360524246","4643.386854575215","4264.493265258425","4592.615122959764","4360.134264783232","4047.9807726019353","3737.8214500220874","3447.134156026184","4658.771382268417","4714.169866802294","5332.715213290024","5245.448962156325","4550.816472656347","4340.82818895715","5037.527239667434","6752.94390345319","10075.784385664128","12276.175677898453","24371.734419216282","46540.822420980236","63380.17173611516","71948.73948928171","73245.85906240519","59354.97148386407","84155.69693350239","98845.91115850824","117166.33732505015","120091.27598883215","113992.38477400986","117994.20854393733","144207.90021149683"
"INTL.21-4-WORL-TST.A","        Metallurgical coke (Mst)","23461.56604","21493.94269","19473.57380649995","18440.323528","22660.18667","21585.9304595","19163.8246965","18750.32065775002","21263.96476217304","21848.86099238825","27305.84859688842","17257.58221507558","18302.769202427855","18722.161348146554","21772.246566827056","26525.910052008385","23585.04476618535","27049.48688207633","28770.71118028914","26714.04638402935","33765.27147336669","32421.794542772168","34123.856680959805","37116.0380443348","40728.20713690257","33658.689900034275","36837.53832265199","39510.79982921632","36107.554876957634","17729.526978548412","25547.962087565826","24439.71312805264","23282.593860115485","26685.5000286989","30143.346941983855","29682.514711026848","30942.91337333177","30331.154944573602","32921.23271052162","28590.07000144562","27286.65040970781","33128.37475721643","31508.2823148228"
"","    Reserves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-6-WORL-MST.A","        Coal (million st)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","987271.07233","999719.30053","1003692.99255","1034332.735115","1049564.03865","1075035.28394","1150385.3368053334","1206678.4762814762","1213180.233179619","1217998.579642333","1230443.38915","1229767.38915","1257610.04666","1257760.1371896","1257760.1371896"
"INTL.1-8-WORL-MMTCD.A","    Emissions (MMtonnes CO2)","7493.968156027763","7520.288294626726","7653.489606210475","7857.702588932168","8213.542707225697","8505.796832504464","8604.799640360845","8939.581898630793","9207.777931112114","9218.272335370784","9103.84704034542","8814.015914418","8587.796991683055","8584.71957979112","8618.43054507736","8864.709408074881","9063.489634978107","8922.333957737615","8869.542605256755","8912.90258885311","9378.466328441522","9480.487420904527","9717.677381686239","10518.20700184561","11437.291514020844","12206.099835677629","12883.600109596322","13508.168813360706","13754.941967101668","13870.641812842714","15011.301229667395","15813.066586911244","16298.559872001015","16490.716929501094","16396.901402573178","16016.842678426194","15599.280359388666","15695.535125204395","15886.230499213949","15816.227095432518","15312.141433744826","16067.416928310431","18398.59746009146"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-1-AFG-TST.A","        Coal (Mst)","131.17505","137.78892","159.83515","159.83515","163.14208","166.44902","176.36982","184.086","152.11897","139.99354","115.74269","103.61727","8.81849","7.71618","6.61387","5.51156","3.30693","2.20462","2.20462","1.10231","1.10231","28.6601","23.14854","38.5809","37.47859","36.37627","38.5809","267.86166","382.50204","551.15568","823.04626305","1337.999254185","1893.3050145526","2027.6649300897","2595.7556776294","2272.774614759","2519.6878396093","2281.4887936185","3129.155679952","3319.40341841772","1952.3954849235","2963.82372284581","5384.9858994884"
"INTL.11-1-AFG-TST.A","            Anthracite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
