Report generated on: 07-31-2024 18:29:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"INTL.13-1-CAN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","182","203","227","233","224","236","240","258","216","274","258","277","272","310","337","358","356","345","324","319","318","348","368","373","NA"
"INTL.6798-1-CAN-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","70.50267249","74","91","104","117","124","106","60","62","63","63","71","77","78","63","63","70","70","72","60","59","60","63","63","62","57","55","59","58","55","59","55","49","45","NA"
"INTL.6799-1-CAN-TBPD.A","            Liquefied petroleum gases (nonrefinery) (Mb/d)","6.651841787","8.5","NA","NA","NA","8.2","19","26","44","92","22","31","50","51","47","43","36","45","8.6","37","26","31","18","44","53","65","63","49","56","53","57","80","121","116","71"
"INTL.8399-1-CAN-TBPD.A","            Ethane (non refinery) (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","97","101","100","104","114","130","134","143","136","177","174","186","191","202","223","236","238","237","211","211","203","213","198","212","203"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-CAN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","203","229","255","265","248","266","268","286","242","306","289","308","304","343","375","393","415","422","391","377","370","397","402","427","NA"
"INTL.6899-2-CAN-TBPD.A","            LPG (Mb/d)","50.35530348","53","56","75","87","95","118","156","180","181","87","106","133","137","120","119","117","126","87","104","90","97","87","116","125","125","141","154","151","139","137","158","175","163","NA"
"INTL.8499-2-CAN-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","116","123","122","128","128","146","150","161","155","202","198","212","217","227","251","268","273","268","240","238","234","239","226","264","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-CAN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0.4","0.0633879781420765","0.4","0.3","0.6","0.1","0.7","3.2","3.9","2.8","2.8","2.4","1.6","2.8","4.3","6.9","0","0","0","0","0.2","4.6","5.8","6","12","20","11","NA"
"INTL.6899-3-CAN-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","0.030105166","NA","0","0.4","0.0633879781420765","0.4","0.3","0.6","0.1","0.7","3.2","3.9","2.8","2.8","2.4","1.6","2.8","4.3","6.9","0","0","0","0","0.2","4.6","5.8","6","12","20","11","NA"
"INTL.8499-3-CAN-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-CAN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","9.9","13","13","6.7","1.7","0.5","0.2","0.8","0.9","1.2","1.3","3.3","4.1","4.2","6.6","10","11","10","8.1","9.2","9.3","10","11","8.2","12","13","15","18","NA"
"INTL.6899-4-CAN-TBPD.A","            LPG (Mb/d)","5.989649034","9.5","6.6","5.9","6.6","7.3","9.9","13","13","6.7","1.7","0.5","0.2","0.8","0.9","1.2","1.3","3.3","4.1","4.2","6.6","10","11","10","8.1","9.2","9.3","10","11","8.2","12","13","15","18","NA"
"INTL.8499-4-CAN-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-CYM-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6798-1-CYM-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6799-1-CYM-TBPD.A","            Liquefied petroleum gases (nonrefinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8399-1-CYM-TBPD.A","            Ethane (non refinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-CYM-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.03178","0.06356","0.06338","0.06356","0.09534","0.06356","0.09508","0.09534","0.09534","0.09508","0.09508","0.09534","0.09534","0.0953424657534247","0.0950819672131148","0.0953424657534247","0.0953424657534247","0.0953424657534247","0.1","0.0953424657534247","0.1","0.2","0.2","0.0635616438356164","0.0635616438356164","0.0635616438356164","0.0635616438356164","NA","NA"
"INTL.6899-2-CYM-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.03178","0.06356","0.06338","0.06356","0.09534","0.06356","0.09508","0.09534","0.09534","0.09508","0.09508","0.09534","0.09534","0.0953424657534247","0.0950819672131148","0.0953424657534247","0.0953424657534247","0.0953424657534247","0.1","0.0953424657534247","0.1","0.2","0.2","0.0635616438356164","0.0635616438356164","0.0635616438356164","0.0635616438356164","NA","NA"
"INTL.8499-2-CYM-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-CYM-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.03178","0.06356","0.06338","0.06356","0.09534","0.06356","0.09508","0.09534","0.09534","0.09508","0.09508","0.09534","0.09534","0.0953424657534247","0.0950819672131148","0.0953424657534247","0.0953424657534247","0.0953424657534247","0.1","0.0953424657534247","0.1","0.2","0.2","0.0635616438356164","0.0635616438356164","0.0635616438356164","0.0635616438356164","NA","NA"
"INTL.6899-3-CYM-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.03178","0.06356","0.06338","0.06356","0.09534","0.06356","0.09508","0.09534","0.09534","0.09508","0.09508","0.09534","0.09534","0.0953424657534247","0.0950819672131148","0.0953424657534247","0.0953424657534247","0.0953424657534247","0.1","0.0953424657534247","0.1","0.2","0.2","0.0635616438356164","0.0635616438356164","0.0635616438356164","0.0635616438356164","NA","NA"
"INTL.8499-3-CYM-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-CYM-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-4-CYM-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-4-CYM-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Central African Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-CAF-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6798-1-CAF-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6799-1-CAF-TBPD.A","            Liquefied petroleum gases (nonrefinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.8399-1-CAF-TBPD.A","            Ethane (non refinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-CAF-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-2-CAF-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-2-CAF-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-CAF-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-3-CAF-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-3-CAF-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-CAF-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-4-CAF-TBPD.A","            LPG (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-4-CAF-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Chad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-TCD-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6798-1-TCD-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6799-1-TCD-TBPD.A","            Liquefied petroleum gases (nonrefinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.8399-1-TCD-TBPD.A","            Ethane (non refinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-TCD-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0.1","0.00104","0.00105","0.00444","0","0","0","0","0","0","0","0","0","0.0316939890710383","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0316939890710383","0","0.0317808219178082","0.03178082192","0.03178082192","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0317808219178082","NA","NA"
"INTL.6899-2-TCD-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0.1","0.00104","0.00105","0.00444","0","0","0","0","0","0","0","0","0","0.0316939890710383","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0316939890710383","0","0.0317808219178082","0.03178082192","0.03178082192","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0317808219178082","NA","NA"
"INTL.8499-2-TCD-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-TCD-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0.1","0.00104","0.00105","0.00444","0","0","0","0","0","0","0","0","0","0.0316939890710383","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0316939890710383","0","0.0317808219178082","0.03178082192","0.03178082192","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0317808219178082","NA","NA"
"INTL.6899-3-TCD-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0.1","0.00104","0.00105","0.00444","0","0","0","0","0","0","0","0","0","0.0316939890710383","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0316939890710383","0","0.0317808219178082","0.03178082192","0.03178082192","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0317808219178082","NA","NA"
"INTL.8499-3-TCD-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-TCD-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-4-TCD-TBPD.A","            LPG (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-4-TCD-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Chile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-CHL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","15.215470699","15","13","14","14","13","14","14","14","15","13","12","14","15","13","14","15","15","16","17","15","17","13","17","17","16","12","13","11","11","10","14","13","8.5","NA"
"INTL.6798-1-CHL-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","8.262653611","7.4","5.9","6.4","6.2","6.2","6.7","7.4","7","8","5.6","5","6.3","6.6","6.1","7.6","8.5","9.5","10","11","11","12","7.5","11","11","11","12","13","11","11","10","14","13","8.3","NA"
"INTL.6799-1-CHL-TBPD.A","            Liquefied petroleum gases (nonrefinery) (Mb/d)","6.952817088","7.3","7.4","7.3","7.6","6.9","7","7.1","6.8","6.5","7.7","7.4","7.3","7.9","7.4","6.5","6","5.1","5.4","5.4","4.2","5.5","5.5","5.5","5.5","4.9","0","0","0","0","0","0","0","0.2","0"
"INTL.8399-1-CHL-TBPD.A","            Ethane (non refinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-CHL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","14.56780147","15","15","13","13","13","14","15","16","17","18","19","21","23","24","26","29","30","32","33","33","32","31","32","32","31","31","41","42","47","40","41","41","42","NA"
"INTL.6899-2-CHL-TBPD.A","            LPG (Mb/d)","14.56780147","15","15","13","13","13","14","15","16","17","18","19","21","23","24","26","29","30","32","33","33","32","31","32","32","31","31","41","42","47","40","41","41","42","NA"
"INTL.8499-2-CHL-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-CHL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.4","0.7","2.4","2.3","4.7","7","7.7","10","11","15","16","16","16","17","21","16","20","19","20","19","21","30","31","29","25","25","24","33","NA"
"INTL.6899-3-CHL-TBPD.A","            LPG (Mb/d)","NA","1.2","2.6","0.3","NA","NA","0.4","0.7","2.4","2.3","4.7","7","7.7","10","11","15","16","16","16","17","21","16","20","19","20","19","21","30","31","29","25","25","24","33","NA"
"INTL.8499-3-CHL-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-CHL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0.1","0","0","1","0","0.9","0.9","0.4","3.5","3.9","4.7","3.8","5.2","3.7","3.9","3.2","1.6","1","0.4","0","0.0633879781420765","2.1","NA"
"INTL.6899-4-CHL-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","0.5","NA","0","0","0","0","0","0","0.1","0","0","1","0","0.9","0.9","0.4","3.5","3.9","4.7","3.8","5.2","3.7","3.9","3.2","1.6","1","0.4","0","0.0633879781420765","2.1","NA"
"INTL.8499-4-CHL-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-CHN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","3.8","48","48","76","86","91","116","123","146","175","196","198","249","245","311","312","341","394","476","466","566","618","612","597","686","695","694","NA","NA"
"INTL.6798-1-CHN-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","NA","NA","NA","NA","NA","NA","3.8","48","48","76","86","91","116","123","146","175","196","198","242","240","309","309","336","392","474","464","563","615","609","593","680","688","687","NA","NA"
"INTL.6799-1-CHN-TBPD.A","            Liquefied petroleum gases (nonrefinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.5","5.4","2.5","3.1","4.6","1.8","2.2","2.3","2.8","3.3","3.8","4","5.8","7.1","7.4","8.3","NA"
"INTL.8399-1-CHN-TBPD.A","            Ethane (non refinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-CHN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","54","62","76","90","88","93","117","127","191","207","262","291","375","362","461","460","521","587","658","649","727","740","676","695","724","756","767","NA","NA"
"INTL.6899-2-CHN-TBPD.A","            LPG (Mb/d)","36.87103982","33","37","45","46","47","54","62","76","90","88","93","117","127","191","207","262","291","375","362","461","460","521","587","658","649","727","740","676","695","724","756","767","NA","NA"
"INTL.8499-2-CHN-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-CHN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0.8","1","2.8","3.8","0.6","19","31","32","54","117","152","176","153","155","199","202","202","196","170","129","82","130","104","111","114","NA","NA"
"INTL.6899-3-CHN-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0.8","1","2.8","3.8","0.6","19","31","32","54","117","152","176","153","155","199","202","202","196","170","129","82","130","104","111","114","NA","NA"
"INTL.8499-3-CHN-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-CHN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","1.6","0.6","1.1","1","0.4","0.5","0.4","0.4","11","13","16","2.4","0.5","0.7","1.8","0.8","1","0.9","4.8","11","22","27","30","38","41","NA","NA"
"INTL.6899-4-CHN-TBPD.A","            LPG (Mb/d)","NA","NA","0.030105166","0.060184879","0.4","0.6","0","0","1.6","0.6","1.1","1","0.4","0.5","0.4","0.4","11","13","16","2.4","0.5","0.7","1.8","0.8","1","0.9","4.8","11","22","27","30","38","41","NA","NA"
"INTL.8499-4-CHN-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Colombia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-COL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","12","12","15","16","17","17","15","16","21","28","21","22","22","26","26","27","24","28","21","22","22","22","22","21","18","19","19","NA","NA"
"INTL.6798-1-COL-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","NA","NA","NA","NA","NA","NA","11","12","13","14","15","14","13","13","17","27","16","22","18","22","23","25","23","25","20","20","21","21","21","21","18","17","15","NA","NA"
"INTL.6799-1-COL-TBPD.A","            Liquefied petroleum gases (nonrefinery) (Mb/d)","1.321184723","1.4","1.5","1.5","1.7","2.1","1.7","0","2.2","2.2","2.2","2.3","2.5","2.3","3.7","0.08808","4.9","0","3.7","4.2","3.1","1.2","1.2","3.2","1.2","1.2","1.2","0.8","0.8","0","0","1.1","4.4","1","NA"
"INTL.8399-1-COL-TBPD.A","            Ethane (non refinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-COL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","11","12","12","14","14","14","16","17","18","14","21","22","17","21","25","24","24","21","19","21","22","22","22","21","19","17","18","NA","NA"
"INTL.6899-2-COL-TBPD.A","            LPG (Mb/d)","6.811537253","7.9","7.4","10","11","12","11","12","12","14","14","14","16","17","18","14","21","22","17","21","25","24","24","21","19","21","22","22","22","21","19","17","18","NA","NA"
"INTL.8499-2-COL-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-COL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","2.3","0.5","0.3","0.052","0","0.06356","0.2","0","0","0.0953424657534247","0","0.0316939890710383","0.0635616438356164","0","0","0","1","0.9","0.5","0","NA","NA"
"INTL.6899-3-COL-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","2.3","0.5","0.3","0.052","0","0.06356","0.2","0","0","0.0953424657534247","0","0.0316939890710383","0.0635616438356164","0","0","0","1","0.9","0.5","0","NA","NA"
"INTL.8499-3-COL-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-COL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0.9","0.1","0.09534","0.2","0","0.6","1.5","2.5","0.4","0.3","0.4","0.1","0.1","0.3","0.2","0.4","1.7","NA","NA"
"INTL.6899-4-COL-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0.9","0.1","0.09534","0.2","0","0.6","1.5","2.5","0.4","0.3","0.4","0.1","0.1","0.3","0.2","0.4","1.7","NA","NA"
"INTL.8499-4-COL-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Comoros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-COM-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
