Report generated on: 07-31-2024 18:26:14
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.26-4-ALB-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3002-8-ALB-MMTCD.A","    Emissions (MMtonnes CO2)","0.5555033","0.61105363","0.5555033","0.61105363","0.61105363","0.5555033","0.77770462","0.88880528","1.38875825","1.38875825","0.500067221","0.2769558","0.199518958","0.058659238","0.05871463","0.05871463","0.058684164","0.039122776","0.058684164","0.039122776","0.058684164","0.058684164","0.058684164","0.058684164","0.058684164","0.058684164","0.058684164","0.019336545","0.05649194","0.05649194","0.018587066","0.018587066","0.031598012","0.035315426","0.059478612","0.065054731","0.083641087","0.092934541","0.079780155","0.144845436","0.10362543","0.109606279","0.094092198"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3-1-DZA-BCF.A","        Gross natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4471","4458","4486","4722.67","4700.78","4864.29","4903.1346","5259.1098","5299.3689","5347.04415","5757.40445","5668.0575","5671.589","5819.912","6078.06465","6819.361815","6836.984","6998.79733","7104.88359","6954.123855","6787.89615","6714.335005","6448.483685","6338.68935","6594.15806","6491.74456","NA","NA","","","","",""
"INTL.26-1-DZA-BCF.A","            Dry natural gas (bcf)","411","772","942","1314","1360","1360","1330","1525","1635","1709","1787","1933","1970.577","1902.066","1806.72","2051.8","2194.12095","2433.2035","2604.48125","2875.70045","2939.6206","2787.0598","2798.71375","2849.9205","2830.49725","3151.334025","3079.468","2995.665505","3054.924075","2875.55919","2988.00215","2922.916605","3053.12301","2812.76912","2941.562925","2932.5576","3312.0140515","3364.615825","3397.494297","3144.731764","2977.700817","3682.437743","3557.116229"
"INTL.43-1-DZA-BCF.A","            Vented and flared natural gas (bcf)","343","238","170","154","129","160","199","222","212","216","236","159","141","237.316","242.61","250.74","243.6735","244.73295","244.73295","237.66995","239.4357","144.0852","147.6167","141.26","119.71785","105.80374","116.5395","165.097625","174.915195","194.338445","176.575","127.27526","123.425925","129.288215","139.42362","124.09691","","","","","","",""
"INTL.48-1-DZA-BCF.A","            Reinjected natural gas (bcf)","","","","","","","","","","","2235","2135","2148","2399.3","2472.4","2377.41","2283.4679","2371.0491","2258.7474","2055.333","2381.99675","2551.50875","2533.14495","2467.1059","2741.1503","3056.972345","3181.8815","3285.884175","3281.39917","3355.172205","3145.8602","3134.029675","2732.498125","2692.450915","2867.93115","2721.16201","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-DZA-BCF.A","            Dry natural gas (bcf)","460","346","553","656","680","584","602","656","712","660","681","775","730","655.093","690.41","741.97","762.0977","711.9504","736.31775","752.56265","726.0764","721.8386","720.77915","724.6638","680.8732","846.323975","904.064","934.328955","977.342625","1015.51814","1017.7783","1161.1572","1265.83086","1163.55862","1380.993075","1399.215615","1404.4068759","1457.6261288","1582.370881","1633.622622","1578.376311","1725.706911","1693.799199"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-3-DZA-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-4-DZA-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1083","1158","1240.6159","1246.973","1116.31","1309.83","1432.02325","1721.2531","1868.1635","2123.1378","2213.5442","2065.2212","2077.9346","2125.2567","2149.62405","2305.01005","2175.404","2061.33655","2077.58145","1860.04105","1970.22385","1761.86535","1787.29215","1649.2105","1568.294287","1529.140529","1896.707855","1898.099254","1807.311531","1503.446033","1370.869496","1917.381375","1750.997938"
"INTL.3002-8-DZA-MMTCD.A","    Emissions (MMtonnes CO2)","28.799158667","21.661975867","34.621597267","41.070104533","42.572669333","36.562410133","37.689333733","41.070104533","44.576089067","41.320532","42.6352762","48.520321667","45.703012667","41.013320105","43.224406815","46.452416861","45.569527818","42.570976868","44.028019231","44.999380807","43.415639108","43.162240436","43.098890768","43.331172884","40.712719941","50.605826421","54.058383325","52.645867478","55.06952347","57.22056791","57.347919292","65.426772599","71.324733487","65.562083443","77.813684383","78.840454902","79.132962623","82.131664226","89.160554488","92.048394311","88.935475727","97.236992234","95.439114551"
"","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3-1-ASM-BCF.A","        Gross natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.26-1-ASM-BCF.A","            Dry natural gas (bcf)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
